Plate number: 1FVK-856	| Car in: 22:35:35	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1OVW-928	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1JDS-769	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1FUA-777	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1PFO-273	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1KTF-329	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1RYP-688	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1GGP-173	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1ALC-448	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1ZWP-715	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1SIP-416	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1IWJ-733	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1YYS-575	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1WVN-153	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1UAL-382	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1VAG-663	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1PIX-129	| Car in: 22:35:37	| Car out: 22:35:39	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1TRF-553	| Car in: 22:35:37	| Car out: 22:35:40	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1NLA-876	| Car in: 22:35:37	| Car out: 22:35:40	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1LDK-243	| Car in: 22:35:37	| Car out: 22:35:40	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1NZC-333	| Car in: 22:35:37	| Car out: 22:35:40	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1DND-767	| Car in: 22:35:37	| Car out: 22:35:40	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1MXX-515	| Car in: 22:35:37	| Car out: 22:35:40	| Duration: 0:00:02	| Parked?: True 	| 
Plate number: 1TYX-455	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1WSN-286	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1MRC-235	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1OSS-866	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1ZMG-687	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1DFP-338	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1LWY-489	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1GUI-146	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1DFB-474	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1ELU-525	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1ZSM-559	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1ZSP-262	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1XMN-857	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1FGF-596	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1UZL-876	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1BPS-528	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1SWR-256	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1SNK-584	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1ONL-598	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1EPN-298	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1JFM-889	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1PLR-456	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1DWJ-742	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1ANY-973	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1FWH-187	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1CKL-623	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1SFJ-329	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1WOD-454	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1GWJ-817	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1WPZ-676	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1QKI-887	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1DFC-787	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1LQL-334	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1IYK-177	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1KVW-531	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1JCH-179	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1QNK-824	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1ZOQ-697	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1KAM-844	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1UYW-449	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1CVW-967	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1EPQ-555	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1ZPR-571	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1QOB-234	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1ZFS-281	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1SAK-245	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1RNW-471	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1RSV-837	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1DFQ-548	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1UMO-579	| Car in: 22:35:38	| Car out: 22:35:40	| Duration: 0:00:01	| Parked?: True 	| 
Plate number: 1DGQ-984	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1JGK-681	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1CTR-479	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1NJK-997	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1YBE-217	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1COL-187	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1JRS-272	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1EVV-145	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1EPA-151	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1SXS-947	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1HVS-512	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1SWA-791	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1DKW-976	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1ERZ-254	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1CJK-558	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1FQH-829	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1GAN-365	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1PQW-745	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1CFX-448	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1SQI-718	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1WVN-348	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1QDV-873	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1VED-714	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1EWP-425	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1VNG-138	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1JLF-492	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1VFE-457	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1XPE-325	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1YIV-144	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1QZK-415	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1GAR-674	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1HEN-146	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1JDH-887	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1YOP-611	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1GCL-952	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1BHO-912	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1AUF-873	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1UBY-215	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1CXC-792	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1QQR-424	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1IGI-552	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1SJM-246	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1UKA-312	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1RIH-499	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1WQC-429	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1SEC-386	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1QKI-252	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1OVB-666	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1HZT-834	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
Plate number: 1WCU-694	| Car in: 22:35:41	| Car out: 00:00:00	| Duration: 0:00:00	| Parked?: True 	| 
